DateTime,Date,Hour,Day of the Week,Season,Daytime,Consumption (kW)
2021-11-24 07:45:00,2021-11-24,07:45:00,2,3,1,0.123
2021-11-24 08:00:00,2021-11-24,08:00:00,2,3,1,0.119
2021-11-24 08:15:00,2021-11-24,08:15:00,2,3,1,0.1215
2021-11-24 08:30:00,2021-11-24,08:30:00,2,3,1,0.124
2021-11-24 08:45:00,2021-11-24,08:45:00,2,3,1,0.1245
2021-11-24 09:00:00,2021-11-24,09:00:00,2,3,1,0.125
2021-11-24 09:15:00,2021-11-24,09:15:00,2,3,1,0.268
2021-11-24 09:30:00,2021-11-24,09:30:00,2,3,1,0.411
2021-11-24 09:45:00,2021-11-24,09:45:00,2,3,1,0.392
2021-11-24 10:00:00,2021-11-24,10:00:00,2,3,1,0.373
2021-11-24 10:15:00,2021-11-24,10:15:00,2,3,1,0.27
2021-11-24 10:30:00,2021-11-24,10:30:00,2,3,1,0.167
2021-11-24 10:45:00,2021-11-24,10:45:00,2,3,1,0.1704999999999999
2021-11-24 11:00:00,2021-11-24,11:00:00,2,3,1,0.174
2021-11-24 11:15:00,2021-11-24,11:15:00,2,3,1,0.1684999999999999
2021-11-24 11:30:00,2021-11-24,11:30:00,2,3,1,0.163
2021-11-24 11:45:00,2021-11-24,11:45:00,2,3,1,0.174
2021-11-24 12:00:00,2021-11-24,12:00:00,2,3,1,0.185
2021-11-24 12:15:00,2021-11-24,12:15:00,2,3,1,0.1669999999999999
2021-11-24 12:30:00,2021-11-24,12:30:00,2,3,1,0.149
2021-11-24 12:45:00,2021-11-24,12:45:00,2,3,1,0.2199999999999999
2021-11-24 13:00:00,2021-11-24,13:00:00,2,3,1,0.291
2021-11-24 13:15:00,2021-11-24,13:15:00,2,3,1,0.2704999999999999
2021-11-24 13:30:00,2021-11-24,13:30:00,2,3,1,0.25
2021-11-24 13:45:00,2021-11-24,13:45:00,2,3,1,0.255
2021-11-24 14:00:00,2021-11-24,14:00:00,2,3,1,0.26
2021-11-24 14:15:00,2021-11-24,14:15:00,2,3,1,0.2285
2021-11-24 14:30:00,2021-11-24,14:30:00,2,3,1,0.197
2021-11-24 14:45:00,2021-11-24,14:45:00,2,3,1,0.2
2021-11-24 15:00:00,2021-11-24,15:00:00,2,3,1,0.203
2021-11-24 15:15:00,2021-11-24,15:15:00,2,3,1,0.2315
2021-11-24 15:30:00,2021-11-24,15:30:00,2,3,1,0.26
2021-11-24 15:45:00,2021-11-24,15:45:00,2,3,1,0.2075
2021-11-24 16:00:00,2021-11-24,16:00:00,2,3,1,0.155
2021-11-24 16:15:00,2021-11-24,16:15:00,2,3,1,0.1835
2021-11-24 16:30:00,2021-11-24,16:30:00,2,3,1,0.212
2021-11-24 16:45:00,2021-11-24,16:45:00,2,3,1,0.2455
2021-11-24 17:00:00,2021-11-24,17:00:00,2,3,1,0.279
2021-11-24 17:15:00,2021-11-24,17:15:00,2,3,1,0.338
2021-11-24 17:30:00,2021-11-24,17:30:00,2,3,0,0.397
2021-11-24 17:45:00,2021-11-24,17:45:00,2,3,0,0.3835
2021-11-24 18:00:00,2021-11-24,18:00:00,2,3,0,0.37
2021-11-24 18:15:00,2021-11-24,18:15:00,2,3,0,0.419
2021-11-24 18:30:00,2021-11-24,18:30:00,2,3,0,0.468
2021-11-24 18:45:00,2021-11-24,18:45:00,2,3,0,0.4875
2021-11-24 19:00:00,2021-11-24,19:00:00,2,3,0,0.507
2021-11-24 19:15:00,2021-11-24,19:15:00,2,3,0,0.5
2021-11-24 19:30:00,2021-11-24,19:30:00,2,3,0,0.493
2021-11-24 19:45:00,2021-11-24,19:45:00,2,3,0,0.484
2021-11-24 20:00:00,2021-11-24,20:00:00,2,3,0,0.475
2021-11-24 20:15:00,2021-11-24,20:15:00,2,3,0,0.3914999999999999
2021-11-24 20:30:00,2021-11-24,20:30:00,2,3,0,0.308
2021-11-24 20:45:00,2021-11-24,20:45:00,2,3,0,0.3725
2021-11-24 21:00:00,2021-11-24,21:00:00,2,3,0,0.437
2021-11-24 21:15:00,2021-11-24,21:15:00,2,3,0,0.476
2021-11-24 21:30:00,2021-11-24,21:30:00,2,3,0,0.515
2021-11-24 21:45:00,2021-11-24,21:45:00,2,3,0,0.4825
2021-11-24 22:00:00,2021-11-24,22:00:00,2,3,0,0.45
2021-11-24 22:15:00,2021-11-24,22:15:00,2,3,0,0.353
2021-11-24 22:30:00,2021-11-24,22:30:00,2,3,0,0.256
2021-11-24 22:45:00,2021-11-24,22:45:00,2,3,0,0.302
2021-11-24 23:00:00,2021-11-24,23:00:00,2,3,0,0.348
2021-11-24 23:15:00,2021-11-24,23:15:00,2,3,0,0.2835
2021-11-24 23:30:00,2021-11-24,23:30:00,2,3,0,0.219
2021-11-24 23:45:00,2021-11-24,23:45:00,2,3,0,0.243
2021-11-25 00:00:00,2021-11-25,00:00:00,3,3,0,0.267
2021-11-25 00:15:00,2021-11-25,00:15:00,3,3,0,0.2725
2021-11-25 00:30:00,2021-11-25,00:30:00,3,3,0,0.278
2021-11-25 00:45:00,2021-11-25,00:45:00,3,3,0,0.2395
2021-11-25 01:00:00,2021-11-25,01:00:00,3,3,0,0.201
2021-11-25 01:15:00,2021-11-25,01:15:00,3,3,0,0.376
2021-11-25 01:30:00,2021-11-25,01:30:00,3,3,0,0.551
2021-11-25 01:45:00,2021-11-25,01:45:00,3,3,0,0.4675
2021-11-25 02:00:00,2021-11-25,02:00:00,3,3,0,0.384
2021-11-25 02:15:00,2021-11-25,02:15:00,3,3,0,0.286
2021-11-25 02:30:00,2021-11-25,02:30:00,3,3,0,0.188
2021-11-25 02:45:00,2021-11-25,02:45:00,3,3,0,0.157
2021-11-25 03:00:00,2021-11-25,03:00:00,3,3,0,0.126
2021-11-25 03:15:00,2021-11-25,03:15:00,3,3,0,0.122
2021-11-25 03:30:00,2021-11-25,03:30:00,3,3,0,0.118
2021-11-25 03:45:00,2021-11-25,03:45:00,3,3,0,0.122
2021-11-25 04:00:00,2021-11-25,04:00:00,3,3,0,0.126
2021-11-25 04:15:00,2021-11-25,04:15:00,3,3,0,0.137
2021-11-25 04:30:00,2021-11-25,04:30:00,3,3,0,0.148
2021-11-25 04:45:00,2021-11-25,04:45:00,3,3,0,0.1405
2021-11-25 05:00:00,2021-11-25,05:00:00,3,3,0,0.133
2021-11-25 05:15:00,2021-11-25,05:15:00,3,3,0,0.129
2021-11-25 05:30:00,2021-11-25,05:30:00,3,3,0,0.125
