Timestamp,Cos Solar Incidence (°),GHI (W/m2),PV Power Generation (W)
2021-05-01 00:00:00,-0.9403557210018607,0.0,0.0
2021-05-01 00:15:00,-0.9479025273855373,0.0,0.0
2021-05-01 00:30:00,-0.9513328425924892,0.0,0.0
2021-05-01 00:45:00,-0.9506320856276858,0.0,0.0
2021-05-01 01:00:00,-0.9458033691952631,0.0,0.0
2021-05-01 01:15:00,-0.936867484547596,0.0,0.0
2021-05-01 01:30:00,-0.9238628139342674,0.0,0.0
2021-05-01 01:45:00,-0.9068451632964729,0.0,0.0
2021-05-01 02:00:00,-0.8858875231238563,0.0,0.0
2021-05-01 02:15:00,-0.8610797589440295,0.0,0.0
2021-05-01 02:30:00,-0.8325282203128337,0.0,0.0
2021-05-01 02:45:00,-0.8003552869216825,0.0,0.0
2021-05-01 03:00:00,-0.7646988490045021,0.0,0.0
2021-05-01 03:15:00,-0.7257117077125188,0.0,0.0
2021-05-01 03:30:00,-0.6835609238766068,0.0,0.0
2021-05-01 03:45:00,-0.6384271083964009,0.0,0.0
2021-05-01 04:00:00,-0.5905036370099281,0.0,0.0
2021-05-01 04:15:00,-0.5399958267965852,0.0,0.0
2021-05-01 04:30:00,-0.4871200638131902,0.0,0.0
2021-05-01 04:45:00,-0.4321028624445037,0.0,0.0
2021-05-01 05:00:00,-0.37517990134776386,0.0,0.0
2021-05-01 05:15:00,-0.31659502182573096,0.0,0.0
2021-05-01 05:30:00,-0.25659916802639704,0.0,0.0
2021-05-01 05:45:00,-0.1954493192693109,0.0,0.0
2021-05-01 06:00:00,-0.13340739777430405,2.789334720500218,2.5222384179369506
2021-05-01 06:15:00,-0.0707391303711679,16.54673914792883,14.78363089395065
2021-05-01 06:30:00,-0.0077129182925307765,44.02281353908312,38.97555746583878
2021-05-01 06:45:00,0.0554013037416191,82.92781015107774,72.52469383313876
2021-05-01 07:00:00,0.11833324062200286,128.78161669525954,111.23579108493726
2021-05-01 07:15:00,0.1808133860072529,181.12640483233724,154.98216583719358
2021-05-01 07:30:00,0.24257416817266197,235.70291263953965,200.40852869055516
2021-05-01 07:45:00,0.30335111274303145,292.9754055525184,246.7325542676442
2021-05-01 08:00:00,0.36288396662641753,351.0991521712621,292.839028083398
2021-05-01 08:15:00,0.42091780484811775,408.7419290021515,337.60689934341747
2021-05-01 08:30:00,0.4772041380638844,467.9699821711271,384.00093026700745
2021-05-01 08:45:00,0.5315019683153481,525.4180569374404,428.3044962930946
2021-05-01 09:00:00,0.5835788140312979,580.6988393653512,468.6653468706258
2021-05-01 09:15:00,0.6332117200063605,634.6660924452601,508.79454022232
2021-05-01 09:30:00,0.6801882042105765,686.7184679453054,544.9626700043578
2021-05-01 09:45:00,0.7243071617315637,736.7312376039501,580.6743367030983
2021-05-01 10:00:00,0.7653797382917511,782.34961283724,610.2944371327442
2021-05-01 10:15:00,0.8032301318278494,826.2360557448518,640.0689153394666
2021-05-01 10:30:00,0.8376963405526354,865.0366540701876,665.4571056905057
2021-05-01 10:45:00,0.8686308665248537,901.2932564062689,688.4830517364844
2021-05-01 11:00:00,0.895901341131029,932.1030097001882,706.9861839360524
2021-05-01 11:15:00,0.9193910886007712,958.8877173608995,722.1254572880107
2021-05-01 11:30:00,0.9389996325520279,981.4286652548974,736.4516357060862
2021-05-01 11:45:00,0.9546431213834674,1003.9088166438578,747.9008848554566
2021-05-01 12:00:00,0.9662546855927414,1020.5156216580277,754.763546623153
